email,first_name,last_name,company,position,industry,company_size,phone,website,source
mail@lange-service.de,,,Lange Service GmbH,Geschäftsführer,Bildung,20-100,,www.lange-service.de,Generated
kontakt@immobilien-jung.de,,,Jung Immobilien AG,Geschäftsführer,Gastronomie,20-100,,www.immobilien-jung.de,Generated
info@handel-krueger.de,,,Krüger Handel GmbH,Geschäftsführer,Gesundheit,10-50,,www.handel-krueger.de,Generated
mail@bau-hermann.de,,,Hermann & Partner GmbH & Co. KG,Geschäftsführer,Finanzdienstleistung,10-50,,www.bau-hermann.de,Generated
office@vogel-logistik.de,,,Vogel Logistik AG,Geschäftsführer,Handwerk,50-200,,www.vogel-logistik.de,Generated
office@schmidt.de,,,Trierer Immobilien AG,Geschäftsführer,Immobilien,10-50,,www.schmidt.de,Generated
mail@vogel.de,,,Heidelberger Garten UG,Geschäftsführer,Maschinenbau,50-200,,www.vogel.de,Generated
office@lange-heizung.de,,,Remscheider Heizung e.K.,Geschäftsführer,Handel,20-100,,www.lange-heizung.de,Generated
kontakt@meyer.de,,,Meyer Heizung-Service AG,Geschäftsführer,Produktion,50-200,,www.meyer.de,Generated
info@metall-lange.de,,,Lange Metall-Service e.K.,Geschäftsführer,Gastronomie,20-100,,www.metall-lange.de,Generated
kontakt@sanitär-becker.de,,,Becker Sanitär-Service KG,Geschäftsführer,Gastronomie,10-50,,www.sanitär-becker.de,Generated
info@wagner-sanitär.de,,,Wagner & Partner KG,Geschäftsführer,Handwerk,50-200,,www.wagner-sanitär.de,Generated
office@elektro-wagner.de,,,Wagner Elektro-Service KG,Geschäftsführer,Logistik,30-150,,www.elektro-wagner.de,Generated
info@elektro-braun.de,,,Elektro Braun KG,Geschäftsführer,Energie,10-50,,www.elektro-braun.de,Generated
info@koenig-it.de,,,IT König GmbH & Co. KG,Geschäftsführer,Gastronomie,20-100,,www.koenig-it.de,Generated
kontakt@berger-it.de,,,IT Berger GmbH & Co. KG,Geschäftsführer,Bildung,30-150,,www.berger-it.de,Generated
kontakt@berger.de,,,Berger Garten-Service e.K.,Geschäftsführer,Gastronomie,30-150,,www.berger.de,Generated
mail@moeller-technik.de,,,Möller & Partner e.K.,Geschäftsführer,Produktion,50-200,,www.moeller-technik.de,Generated
mail@becker-consulting.de,,,Consulting Becker AG,Geschäftsführer,Bildung,30-150,,www.becker-consulting.de,Generated
info@peters-auto.de,,,Peters Auto-Service GmbH & Co. KG,Geschäftsführer,Großhandel,50-200,,www.peters-auto.de,Generated
kontakt@service-lange.de,,,Lange & Partner KG,Geschäftsführer,Handel,20-100,,www.service-lange.de,Generated
kontakt@roth.de,,,Roth Digital KG,Geschäftsführer,Handwerk,20-100,,www.roth.de,Generated
info@neumann.de,,,Neumann Auto-Service AG,Geschäftsführer,Finanzdienstleistung,30-150,,www.neumann.de,Generated
mail@technik-vogel.de,,,Vogel & Partner KG,Geschäftsführer,Energie,50-200,,www.technik-vogel.de,Generated
info@klein.de,,,Dresdener Solutions GmbH,Geschäftsführer,Logistik,10-50,,www.klein.de,Generated
kontakt@bau-jung.de,,,Jung Bau AG,Geschäftsführer,Immobilien,10-50,,www.bau-jung.de,Generated
mail@auto-hoffmann.de,,,Hoffmann Auto UG,Geschäftsführer,E-Commerce,10-50,,www.auto-hoffmann.de,Generated
kontakt@solar-krause.de,,,Krause & Partner GmbH,Geschäftsführer,Gastronomie,20-100,,www.solar-krause.de,Generated
mail@schmidt-digital.de,,,Schmidt Digital-Service e.K.,Geschäftsführer,Energie,50-200,,www.schmidt-digital.de,Generated
kontakt@koenig.de,,,König Solutions-Service AG,Geschäftsführer,Großhandel,10-50,,www.koenig.de,Generated
info@klein-handel.de,,,Klein Handel-Service KG,Geschäftsführer,Einzelhandel,20-100,,www.klein-handel.de,Generated
office@werner.de,,,Transport Werner e.K.,Geschäftsführer,Energie,50-200,,www.werner.de,Generated
office@braun.de,,,Stuttgarter IT GmbH,Geschäftsführer,Dienstleistung,10-50,,www.braun.de,Generated
kontakt@hartmann.de,,,Hartmann Immobilien-Service UG,Geschäftsführer,Produktion,20-100,,www.hartmann.de,Generated
office@elektro-werner.de,,,Werner Elektro AG,Geschäftsführer,Maschinenbau,30-150,,www.elektro-werner.de,Generated
kontakt@solar-klein.de,,,Klein & Partner AG,Geschäftsführer,Baugewerbe,10-50,,www.solar-klein.de,Generated
kontakt@hartmann-sanitär.de,,,Sanitär Hartmann UG,Geschäftsführer,Bildung,10-50,,www.hartmann-sanitär.de,Generated
office@berger.de,,,Berger IT-Service GmbH & Co. KG,Geschäftsführer,Produktion,50-200,,www.berger.de,Generated
info@berger-auto.de,,,Berger & Partner GmbH,Geschäftsführer,Beratung,20-100,,www.berger-auto.de,Generated
info@klein-technik.de,,,Klein Technik GmbH & Co. KG,Geschäftsführer,Marketing,10-50,,www.klein-technik.de,Generated
mail@neumann.de,,,Lübecker Bau GmbH & Co. KG,Geschäftsführer,Bildung,10-50,,www.neumann.de,Generated
mail@consulting-krueger.de,,,Consulting Krüger GmbH,Geschäftsführer,Produktion,20-100,,www.consulting-krueger.de,Generated
info@koehler-it.de,,,Köhler & Partner UG,Geschäftsführer,E-Commerce,30-150,,www.koehler-it.de,Generated
kontakt@moeller-bau.de,,,Möller Bau GmbH & Co. KG,Geschäftsführer,Logistik,10-50,,www.moeller-bau.de,Generated
kontakt@lange-solar.de,,,Lange Solar AG,Geschäftsführer,Handel,50-200,,www.lange-solar.de,Generated
mail@krause.de,,,Sanitär Krause e.K.,Geschäftsführer,IT-Dienstleistung,10-50,,www.krause.de,Generated
office@bau-jung.de,,,Darmstadter Bau GmbH,Geschäftsführer,IT-Dienstleistung,30-150,,www.bau-jung.de,Generated
info@roth.de,,,Fürther Consulting AG,Geschäftsführer,Beratung,20-100,,www.roth.de,Generated
office@it-werner.de,,,Werner & Partner AG,Geschäftsführer,E-Commerce,10-50,,www.it-werner.de,Generated
office@schulz-systems.de,,,Regensburger Systems GmbH,Geschäftsführer,Bildung,10-50,,www.schulz-systems.de,Generated
office@solutions-weber.de,,,Remscheider Solutions UG,Geschäftsführer,Immobilien,20-100,,www.solutions-weber.de,Generated
info@hartmann-logistik.de,,,Hartmann & Partner UG,Geschäftsführer,Maschinenbau,50-200,,www.hartmann-logistik.de,Generated
info@mueller.de,,,Müller Elektro-Service GmbH & Co. KG,Geschäftsführer,Gesundheit,50-200,,www.mueller.de,Generated
info@zimmermann.de,,,Zimmermann Metall GmbH,Geschäftsführer,Baugewerbe,50-200,,www.zimmermann.de,Generated
kontakt@braun.de,,,Technik Braun GmbH & Co. KG,Geschäftsführer,Handwerk,10-50,,www.braun.de,Generated
mail@peters.de,,,Peters Holz-Service e.K.,Geschäftsführer,Einzelhandel,50-200,,www.peters.de,Generated
office@vogel.de,,,Vogel Logistik-Service e.K.,Geschäftsführer,Immobilien,10-50,,www.vogel.de,Generated
mail@weber-metall.de,,,Weber Metall AG,Geschäftsführer,Produktion,10-50,,www.weber-metall.de,Generated
mail@mueller.de,,,Service Müller AG,Geschäftsführer,Handel,30-150,,www.mueller.de,Generated
info@service-werner.de,,,Werner Service UG,Geschäftsführer,Gesundheit,30-150,,www.service-werner.de,Generated
office@roth-garten.de,,,Chemnitzer Garten KG,Geschäftsführer,Gesundheit,30-150,,www.roth-garten.de,Generated
info@garten-jung.de,,,Jung Garten-Service GmbH & Co. KG,Geschäftsführer,Bildung,20-100,,www.garten-jung.de,Generated
info@lange.de,,,Paderborner Logistik e.K.,Geschäftsführer,Maschinenbau,50-200,,www.lange.de,Generated
office@berger.de,,,Berger Handel-Service GmbH,Geschäftsführer,IT-Dienstleistung,20-100,,www.berger.de,Generated
kontakt@hermann-metall.de,,,Braunschweiger Metall AG,Geschäftsführer,E-Commerce,20-100,,www.hermann-metall.de,Generated
mail@becker-auto.de,,,Becker Auto e.K.,Geschäftsführer,Baugewerbe,10-50,,www.becker-auto.de,Generated
kontakt@koehler.de,,,Garten Köhler KG,Geschäftsführer,Immobilien,50-200,,www.koehler.de,Generated
kontakt@technik-wolf.de,,,Technik Wolf UG,Geschäftsführer,Dienstleistung,10-50,,www.technik-wolf.de,Generated
mail@koehler.de,,,Köhler Digital-Service GmbH,Geschäftsführer,Automotive,50-200,,www.koehler.de,Generated
office@schmidt.de,,,Schmidt Garten-Service AG,Geschäftsführer,Finanzdienstleistung,30-150,,www.schmidt.de,Generated
info@wolf.de,,,Wolf Auto-Service AG,Geschäftsführer,Finanzdienstleistung,30-150,,www.wolf.de,Generated
info@werner-digital.de,,,Werner & Partner GmbH & Co. KG,Geschäftsführer,Maschinenbau,20-100,,www.werner-digital.de,Generated
office@solar-schmidt.de,,,Solar Schmidt GmbH & Co. KG,Geschäftsführer,Bildung,30-150,,www.solar-schmidt.de,Generated
kontakt@hoffmann-it.de,,,Wiesbadener IT UG,Geschäftsführer,Immobilien,10-50,,www.hoffmann-it.de,Generated
info@moeller-holz.de,,,Möller & Partner KG,Geschäftsführer,Handwerk,50-200,,www.moeller-holz.de,Generated
mail@systems-krueger.de,,,Systems Krüger UG,Geschäftsführer,Gesundheit,20-100,,www.systems-krueger.de,Generated
mail@peters.de,,,Erfurter Consulting AG,Geschäftsführer,Einzelhandel,20-100,,www.peters.de,Generated
info@jung-logistik.de,,,Ulmer Logistik KG,Geschäftsführer,E-Commerce,20-100,,www.jung-logistik.de,Generated
info@sanitär-zimmermann.de,,,Zimmermann Sanitär GmbH,Geschäftsführer,Einzelhandel,20-100,,www.sanitär-zimmermann.de,Generated
info@vogel.de,,,Vogel Holz KG,Geschäftsführer,Energie,30-150,,www.vogel.de,Generated
info@mueller-it.de,,,Müller & Partner KG,Geschäftsführer,IT-Dienstleistung,50-200,,www.mueller-it.de,Generated
kontakt@fischer.de,,,Fischer Handel e.K.,Geschäftsführer,Beratung,30-150,,www.fischer.de,Generated
info@walter-systems.de,,,Walter & Partner GmbH,Geschäftsführer,Automotive,20-100,,www.walter-systems.de,Generated
info@service-winkler.de,,,Service Winkler AG,Geschäftsführer,Handel,20-100,,www.service-winkler.de,Generated
office@krause.de,,,Krause Elektro UG,Geschäftsführer,Maschinenbau,20-100,,www.krause.de,Generated
mail@zimmermann-auto.de,,,Remscheider Auto UG,Geschäftsführer,Maschinenbau,30-150,,www.zimmermann-auto.de,Generated
office@winkler-elektro.de,,,Elektro Winkler e.K.,Geschäftsführer,Einzelhandel,10-50,,www.winkler-elektro.de,Generated
office@mueller-garten.de,,,Müller Garten GmbH & Co. KG,Geschäftsführer,Handel,10-50,,www.mueller-garten.de,Generated
kontakt@meyer-garten.de,,,Meyer Garten GmbH & Co. KG,Geschäftsführer,Handel,50-200,,www.meyer-garten.de,Generated
office@immobilien-koehler.de,,,Bonner Immobilien KG,Geschäftsführer,Gesundheit,10-50,,www.immobilien-koehler.de,Generated
mail@moeller.de,,,Möller & Partner GmbH & Co. KG,Geschäftsführer,Logistik,50-200,,www.moeller.de,Generated
mail@wagner-garten.de,,,Wagner & Partner GmbH,Geschäftsführer,Energie,10-50,,www.wagner-garten.de,Generated
mail@jung-it.de,,,Hammer IT GmbH,Geschäftsführer,Produktion,30-150,,www.jung-it.de,Generated
mail@digital-becker.de,,,Digital Becker GmbH & Co. KG,Geschäftsführer,Finanzdienstleistung,20-100,,www.digital-becker.de,Generated
mail@meyer-sanitär.de,,,Meyer Sanitär e.K.,Geschäftsführer,Dienstleistung,30-150,,www.meyer-sanitär.de,Generated
info@koenig-logistik.de,,,König Logistik-Service GmbH & Co. KG,Geschäftsführer,Immobilien,50-200,,www.koenig-logistik.de,Generated
info@metall-koehler.de,,,Fürther Metall UG,Geschäftsführer,Energie,50-200,,www.metall-koehler.de,Generated
mail@immobilien-moeller.de,,,Möller Immobilien-Service e.K.,Geschäftsführer,Handel,30-150,,www.immobilien-moeller.de,Generated
office@mueller.de,,,Müller Transport AG,Geschäftsführer,Einzelhandel,50-200,,www.mueller.de,Generated
info@winkler.de,,,Garten Winkler KG,Geschäftsführer,Großhandel,20-100,,www.winkler.de,Generated
office@berger-technik.de,,,Oberhausener Technik GmbH,Geschäftsführer,Marketing,50-200,,www.berger-technik.de,Generated
mail@service-braun.de,,,Braun Service AG,Geschäftsführer,Einzelhandel,50-200,,www.service-braun.de,Generated
kontakt@metall-koenig.de,,,König Metall-Service GmbH,Geschäftsführer,Energie,50-200,,www.metall-koenig.de,Generated
mail@becker.de,,,Dortmunder Bau e.K.,Geschäftsführer,Automotive,20-100,,www.becker.de,Generated
kontakt@sanitär-winkler.de,,,Winkler & Partner AG,Geschäftsführer,Energie,10-50,,www.sanitär-winkler.de,Generated
info@it-roth.de,,,IT Roth UG,Geschäftsführer,Logistik,30-150,,www.it-roth.de,Generated
kontakt@schmidt.de,,,Schmidt Solutions-Service GmbH,Geschäftsführer,Gastronomie,10-50,,www.schmidt.de,Generated
office@heizung-krause.de,,,Krause & Partner GmbH & Co. KG,Geschäftsführer,E-Commerce,30-150,,www.heizung-krause.de,Generated
mail@winkler-logistik.de,,,Logistik Winkler GmbH,Geschäftsführer,Marketing,10-50,,www.winkler-logistik.de,Generated
kontakt@jung-garten.de,,,Jung Garten-Service GmbH,Geschäftsführer,Baugewerbe,30-150,,www.jung-garten.de,Generated
info@it-krueger.de,,,Ulmer IT UG,Geschäftsführer,Gastronomie,50-200,,www.it-krueger.de,Generated
info@heizung-berger.de,,,Berger Heizung UG,Geschäftsführer,Gesundheit,20-100,,www.heizung-berger.de,Generated
mail@neumann.de,,,Moerser Auto GmbH,Geschäftsführer,Logistik,20-100,,www.neumann.de,Generated
office@winkler.de,,,Service Winkler GmbH & Co. KG,Geschäftsführer,Handwerk,20-100,,www.winkler.de,Generated
mail@klein-it.de,,,Klein IT e.K.,Geschäftsführer,Großhandel,30-150,,www.klein-it.de,Generated
office@wagner.de,,,Wagner Solutions UG,Geschäftsführer,Maschinenbau,30-150,,www.wagner.de,Generated
info@weber-service.de,,,Service Weber KG,Geschäftsführer,Einzelhandel,30-150,,www.weber-service.de,Generated
mail@immobilien-hoffmann.de,,,Hoffmann Immobilien e.K.,Geschäftsführer,Marketing,30-150,,www.immobilien-hoffmann.de,Generated
mail@lange-service.de,,,Lange Service-Service e.K.,Geschäftsführer,Automotive,20-100,,www.lange-service.de,Generated
kontakt@it-hartmann.de,,,Hartmann IT-Service UG,Geschäftsführer,Immobilien,50-200,,www.it-hartmann.de,Generated
mail@digital-weber.de,,,Halleer Digital AG,Geschäftsführer,Logistik,10-50,,www.digital-weber.de,Generated
kontakt@mueller-service.de,,,Müller Service e.K.,Geschäftsführer,Energie,50-200,,www.mueller-service.de,Generated
mail@klein-holz.de,,,Klein Holz-Service AG,Geschäftsführer,Finanzdienstleistung,20-100,,www.klein-holz.de,Generated
info@schmidt.de,,,Münsterer Logistik GmbH,Geschäftsführer,Energie,10-50,,www.schmidt.de,Generated
office@consulting-jung.de,,,Jung Consulting-Service UG,Geschäftsführer,Gesundheit,20-100,,www.consulting-jung.de,Generated
mail@bau-winkler.de,,,Winkler Bau GmbH & Co. KG,Geschäftsführer,Immobilien,10-50,,www.bau-winkler.de,Generated
info@technik-werner.de,,,Werner Technik-Service e.K.,Geschäftsführer,Handwerk,20-100,,www.technik-werner.de,Generated
mail@braun-consulting.de,,,Consulting Braun KG,Geschäftsführer,Maschinenbau,20-100,,www.braun-consulting.de,Generated
kontakt@werner.de,,,Werner Metall-Service GmbH & Co. KG,Geschäftsführer,Gastronomie,20-100,,www.werner.de,Generated
kontakt@klein.de,,,Magdeburger Digital UG,Geschäftsführer,Großhandel,10-50,,www.klein.de,Generated
office@becker-digital.de,,,Becker & Partner e.K.,Geschäftsführer,Gastronomie,30-150,,www.becker-digital.de,Generated
office@digital-hermann.de,,,Wolfsburger Digital KG,Geschäftsführer,Handel,50-200,,www.digital-hermann.de,Generated
kontakt@consulting-schulz.de,,,Schulz & Partner GmbH & Co. KG,Geschäftsführer,Maschinenbau,10-50,,www.consulting-schulz.de,Generated
info@mueller-it.de,,,Müller & Partner GmbH,Geschäftsführer,Immobilien,50-200,,www.mueller-it.de,Generated
mail@wagner.de,,,Wagner Service GmbH,Geschäftsführer,Energie,30-150,,www.wagner.de,Generated
kontakt@werner-heizung.de,,,Werner & Partner UG,Geschäftsführer,Gastronomie,30-150,,www.werner-heizung.de,Generated
mail@berger.de,,,Berger Logistik e.K.,Geschäftsführer,Energie,50-200,,www.berger.de,Generated
kontakt@solutions-hartmann.de,,,Solutions Hartmann UG,Geschäftsführer,Handel,10-50,,www.solutions-hartmann.de,Generated
office@logistik-koenig.de,,,König & Partner UG,Geschäftsführer,Dienstleistung,30-150,,www.logistik-koenig.de,Generated
office@fischer.de,,,Fischer Systems-Service AG,Geschäftsführer,E-Commerce,20-100,,www.fischer.de,Generated
mail@technik-walter.de,,,Walter Technik GmbH,Geschäftsführer,Dienstleistung,10-50,,www.technik-walter.de,Generated
kontakt@roth-technik.de,,,Roth Technik GmbH,Geschäftsführer,Beratung,20-100,,www.roth-technik.de,Generated
info@digital-krause.de,,,Krause & Partner KG,Geschäftsführer,Handwerk,30-150,,www.digital-krause.de,Generated
mail@transport-lange.de,,,Transport Lange AG,Geschäftsführer,Maschinenbau,20-100,,www.transport-lange.de,Generated
info@solutions-hartmann.de,,,Hartmann Solutions GmbH,Geschäftsführer,Gesundheit,50-200,,www.solutions-hartmann.de,Generated
kontakt@garten-klein.de,,,Klein & Partner GmbH,Geschäftsführer,Energie,20-100,,www.garten-klein.de,Generated
info@schmidt-immobilien.de,,,Immobilien Schmidt e.K.,Geschäftsführer,Produktion,20-100,,www.schmidt-immobilien.de,Generated
mail@wagner-it.de,,,IT Wagner GmbH,Geschäftsführer,Großhandel,20-100,,www.wagner-it.de,Generated
info@hermann-bau.de,,,Bau Hermann AG,Geschäftsführer,Automotive,50-200,,www.hermann-bau.de,Generated
office@schmidt.de,,,Mannheimer Transport GmbH & Co. KG,Geschäftsführer,Produktion,50-200,,www.schmidt.de,Generated
kontakt@koenig.de,,,König Handel GmbH,Geschäftsführer,Marketing,30-150,,www.koenig.de,Generated
mail@transport-zimmermann.de,,,Essener Transport KG,Geschäftsführer,Baugewerbe,30-150,,www.transport-zimmermann.de,Generated
info@solar-neumann.de,,,Solar Neumann GmbH,Geschäftsführer,Gesundheit,50-200,,www.solar-neumann.de,Generated
info@weber.de,,,Weber & Partner GmbH & Co. KG,Geschäftsführer,Gesundheit,50-200,,www.weber.de,Generated
mail@schmidt.de,,,Schmidt Logistik UG,Geschäftsführer,Maschinenbau,10-50,,www.schmidt.de,Generated
kontakt@roth-heizung.de,,,Roth Heizung-Service GmbH & Co. KG,Geschäftsführer,Maschinenbau,10-50,,www.roth-heizung.de,Generated
info@peters.de,,,Peters Sanitär-Service UG,Geschäftsführer,Handwerk,20-100,,www.peters.de,Generated
mail@braun-immobilien.de,,,Immobilien Braun GmbH & Co. KG,Geschäftsführer,Handel,50-200,,www.braun-immobilien.de,Generated
info@hermann-heizung.de,,,Hermann & Partner GmbH,Geschäftsführer,Gesundheit,30-150,,www.hermann-heizung.de,Generated
info@roth-sanitär.de,,,Roth & Partner KG,Geschäftsführer,Dienstleistung,10-50,,www.roth-sanitär.de,Generated
mail@winkler-bau.de,,,Oldenburger Bau GmbH,Geschäftsführer,Marketing,10-50,,www.winkler-bau.de,Generated
mail@werner-elektro.de,,,Werner Elektro GmbH & Co. KG,Geschäftsführer,Gesundheit,20-100,,www.werner-elektro.de,Generated
kontakt@mueller.de,,,Müller & Partner UG,Geschäftsführer,Einzelhandel,30-150,,www.mueller.de,Generated
mail@hartmann-logistik.de,,,Hartmann Logistik GmbH & Co. KG,Geschäftsführer,Automotive,30-150,,www.hartmann-logistik.de,Generated
info@it-hartmann.de,,,IT Hartmann e.K.,Geschäftsführer,Energie,50-200,,www.it-hartmann.de,Generated
mail@schmidt-it.de,,,Schmidt IT-Service e.K.,Geschäftsführer,Großhandel,10-50,,www.schmidt-it.de,Generated
info@transport-neumann.de,,,Neumann & Partner GmbH & Co. KG,Geschäftsführer,Handel,50-200,,www.transport-neumann.de,Generated
office@werner.de,,,Werner & Partner KG,Geschäftsführer,Dienstleistung,30-150,,www.werner.de,Generated
office@mueller.de,,,Heizung Müller e.K.,Geschäftsführer,Logistik,10-50,,www.mueller.de,Generated
info@solar-walter.de,,,Walter Solar-Service GmbH & Co. KG,Geschäftsführer,Bildung,10-50,,www.solar-walter.de,Generated
office@fischer-immobilien.de,,,Fischer Immobilien-Service e.K.,Geschäftsführer,Beratung,20-100,,www.fischer-immobilien.de,Generated
office@jung-heizung.de,,,Jung & Partner AG,Geschäftsführer,IT-Dienstleistung,10-50,,www.jung-heizung.de,Generated
kontakt@hartmann-elektro.de,,,Elektro Hartmann AG,Geschäftsführer,Handel,10-50,,www.hartmann-elektro.de,Generated
mail@solutions-becker.de,,,Becker & Partner KG,Geschäftsführer,Beratung,50-200,,www.solutions-becker.de,Generated
mail@walter.de,,,Walter Service KG,Geschäftsführer,Beratung,30-150,,www.walter.de,Generated
mail@technik-peters.de,,,Peters Technik AG,Geschäftsführer,Immobilien,30-150,,www.technik-peters.de,Generated
mail@schmidt-transport.de,,,Schmidt Transport GmbH & Co. KG,Geschäftsführer,Handel,30-150,,www.schmidt-transport.de,Generated
mail@meyer-service.de,,,Heilbronner Service GmbH,Geschäftsführer,Immobilien,50-200,,www.meyer-service.de,Generated
kontakt@koehler-systems.de,,,Köhler Systems-Service e.K.,Geschäftsführer,Dienstleistung,50-200,,www.koehler-systems.de,Generated
kontakt@mueller.de,,,Jenaer Transport e.K.,Geschäftsführer,Immobilien,20-100,,www.mueller.de,Generated
kontakt@walter.de,,,Technik Walter e.K.,Geschäftsführer,Gesundheit,30-150,,www.walter.de,Generated
